,para,pred_label,para_index
106,"""Indeed, Jane, you ought to believe me. No one who has ever seen you       together can doubt his affection. MissBingley, I am sure, cannot. She is       not such a simpleton. Could she have seen half as much love in Mr Darcy       for herself, she would have ordered her wedding clothes. But the case is       this: We are not rich enough or grand enough for them; and she is the more       anxious to get MissDarcy for her brother, from the notion that when there       has been one intermarriage, she may have less trouble in achieving       a second; in which there is certainly some ingenuity, and I dare say it       would succeed, if Missde Bourgh were out of the way. But, my dearest       Jane, you cannot seriously imagine that because MissBingley tells you her       brother greatly admires MissDarcy, he is in the smallest degree less       sensible of your merit than when he took leave of you on Tuesday,       or that it will be in her power to persuade him that, instead of being in       love with you, he is very much in love with her friend.""",B-OTHER,788
107,"""If we thought alike of MissBingley,""",B-OTHER,789
108,"""your representation       of all this might make me quite easy. But I know the foundation is unjust.       Caroline is incapable of wilfully deceiving anyone; and all that I can       hope in this case is that she is deceiving herself.""",I-OTHER,789
109,"""That is right. You could not have started a more happy idea, since you       will not take comfort in mine. Believe her to be deceived, by all means.       You have now done your duty by her, and must fret no longer.""",B-OTHER,790
110,"""But, my dear sister, can I be happy, even supposing the best, in       accepting a man whose sisters and friends are all wishing him to marry       elsewhere?""",B-OTHER,791
111,"""You must decide for yourself,""",B-OTHER,792
112,"""and if, upon mature       deliberation, you find that the misery of disobliging his two sisters is       more than equivalent to the happiness of being his wife, I advise you by       all means to refuse him.""",I-OTHER,792
113,"""How can you talk so?""",B-OTHER,793
114,"""You must know that       though I should be exceedingly grieved at their disapprobation, I could       not hesitate.""",I-OTHER,793
115,"""I did not think you would; and that being the case, I cannot consider       your situation with much compassion.""",B-OTHER,794
116,"""But if he returns no more this winter, my choice will never be required.       A thousand things may arise in six months!""",B-OTHER,795
117,"The idea of his returning no more Elizabeth treated with the utmost       contempt. It appeared to her merely the suggestion of Caroline's       interested wishes, and she could not for a moment suppose that those       wishes, however openly or artfully spoken, could influence a young man so       totally independent of everyone.",O,796
118,"She represented to her sister as forcibly as possible what she felt on the       subject, and had soon the pleasure of seeing its happy effect. Jane's       temper was not desponding, and she was gradually led to hope, though the       diffidence of affection sometimes overcame the hope, that Bingley would       return to Netherfield and answer every wish of her heart.",O,797
119,"They agreed that Mrs Bennet should only hear of the departure of the       family, without being alarmed on the score of the gentleman's conduct; but       even this partial communication gave her a great deal of concern, and she       bewailed it as exceedingly unlucky that the ladies should happen to go       away just as they were all getting so intimate together. After lamenting       it, however, at some length, she had the consolation that Mr Bingley       would be soon down again and soon dining at Longbourn, and the conclusion       of all was the comfortable declaration, that though he had been invited       only to a family dinner, she would take care to have two full courses.",O,798
120,Chapter 22,O,799
121,The Bennets were engaged to dine with the Lucases and again during the       chief of the day was MissLucas so kind as to listen to Mr Collins.       Elizabeth took an opportunity of thanking her. ,O,800
122,"""It keeps him in good       humour,""",B-START,800
123,"""and I am more obliged to you than I can express.""",I-START,800
124,"        Charlotte assured her friend of her satisfaction in being useful, and that       it amply repaid her for the little sacrifice of her time. This was very       amiable, but Charlotte's kindness extended farther than Elizabeth had any       conception of; its object was nothing else than to secure her from any       return of Mr Collins's addresses, by engaging them towards herself. Such       was MissLucas's scheme; and appearances were so favourable, that when       they parted at night, she would have felt almost secure of success if he       had not been to leave Hertfordshire so very soon. But here she did       injustice to the fire and independence of his character, for it led him to       escape out of Longbourn House the next morning with admirable slyness, and       hasten to Lucas Lodge to throw himslf at her feet. He was anxious to       avoid the notice of his cousins, from a conviction that if they saw him       depart, they could not fail to conjecture his design, and he was not       willing to have the attempt known till its success might be known       likewise; for though feeling almost secure, and with reason, for Charlotte       had been tolerably encouraging, he was comparatively diffident since the       adventure of Wednesday. His reception, however, was of the most flattering       kind. MissLucas perceived him from an upper window as he walked towards       the house, and instantly set out to meet him accidentally in the lane. But       little had she dared to hope that so much love and eloquence awaited her       there.",O,800
125,"In as short a time as Mr Collins's long speeches would allow, everything       was settled between them to the satisfaction of both; and as they entered       the house he earnestly entreated her to name the day that was to make him       the happiest of men; and though such a solicitation must be waived for the       present, the lady felt no inclination to trifle with his happiness. The       stupidity with which he was favoured by nature must guard his courtship       from any charm that could make a woman wish for its continuance; and Miss      Lucas, who accepted him solely from the pure and disinterested desire of       an establishment, cared not how soon that establishment were gained.",O,801
126,"Sir William and Lady Lucas were speedily applied to for their consent; and       it was bestowed with a most joyful alacrity. Mr Collins's present       circumsances made it a most eligible match for their daughter, to whom       they could give little fortune; and his prospects of future wealth were       exceedingly fair. Lady Lucas began directly to calculate, with more       interest than the matter had ever excited before, how many years longer       Mr Bennet was likely to live; and Sir William gave it as his decided       opinion, that whenever Mr Collins should be in possession of the       Longbourn estate, it would be highly expedient that both he and his wife       should make their appearance at St. James's. The whole family, in short,       were properly overjoyed on the occasion. The younger girls formed hopes of       coming out a year or two sooner than they might otherwise have       done; and the boys were relieved from their apprehension of Charlotte's       dying an old maid. Charlotte herself was tolerably composed. She had       gained her point, and had time to consider of it. Her reflections were in       general satisfactory. Mr Collins, to be sure, was neither sensible nor       agreeable; his society was irksome, and his attachment to her must be       imaginary. But still he would be her husband. Without thinking highly       either of men or matrimony, marriage had always been her object; it was       the only provision for well-educated young women of small fortune, and       however uncertain of giving happiness, must be their pleasantest       preservative from want. This preservative she had now obtained; and at the       age of twenty-seven, without having ever been handsome, she felt all the       good luck of it. The least agreeable circumsance in the business was the       surprise it must occasion to Elizabeth Bennet, whose friendship she valued       beyond that of any other person. Elizabeth would wonder, and probably       would blame her; and though her resolution was not to be shaken, her       feelings must be hurt by such a disapprobation. She resolved to give her       the information herself, and therefore charged Mr Collins, when he       returned to Longbourn to dinner, to drop no hint of what had passed before       any of the family. A promise of secrecy was of course very dutifully       given, but it could not be kept without difficulty; for the curiosity       excited by his long absence burst forth in such very direct questions on       his return as required some ingenuity to evade, and he was at the same       time exercising great self-denial, for he was longing to publish his       prosperous love.",O,802
127,"As he was to begin his journey too early on the morrow to see any of the       family, the ceremony of leave-taking was performed when the ladies moved       for the night; and Mrs Bennet, with great politeness and cordiality, said       how happy they should be to see him at Longbourn again, whenever his       engagements might allow him to visit them.",O,803
128,"""My dear madam,""",B-START,804
129,"""this invitation is particularly gratifying,       because it is what I have been hoping to receive; and you may be very       certain that I shall avail myself of it as soon as possible.""",I-START,804
130,"They were all astonished; and Mr Bennet, who could by no means wish for       so speedy a return, immediately said:",O,805
131,"""But is there not danger of Lady Catherine's disapprobation here, my good       sir? You had better neglect your relations than run the risk of offending       your patroness.""",B-OTHER,806
132,"""My dear sir,""",B-OTHER,807
133,"""I am particularly obliged to you for       this friendly caution, and you may depend upon my not taking so material a       step without her ladyship's concurrence.""",I-OTHER,807
134,"""You cannot be too much upon your guard. Risk anything rather than her       displeasure; and if you find it likely to be raised by your coming to us       again, which I should think exceedingly probable, stay quietly at home,       and be satisfied that we shall take no offence.""",B-OTHER,808
135,"""Believe me, my dear sir, my gratitude is warmly excited by such       affectionate attention; and depend upon it, you will speedily receive from       me a letter of thanks for this, and for every other mark of your regard       during my stay in Hertfordshire. As for my fair cousins, though my absence       may not be long enough to render it necessary, I shall now take the       liberty of wishing them health and happiness, not excepting my cousin       Elizabeth.""",B-OTHER,809
136,"With proper civilities the ladies then withdrew; all of them equally       surprised that he meditated a quick return. Mrs Bennet wished to       understand by it that he thought of paying his addresses to one of her       younger girls, and Mary might have been prevailed on to accept him. She       rated his abilities much higher than any of the others; there was a       solidity in his reflections which often struck her, and though by no means       so clever as herself, she thought that if encouraged to read and improve       himslf by such an example as hers, he might become a very agreeable       companion. But on the following morning, every hope of this kind was done       away. MissLucas called soon after breakfast, and in a private conference       with Elizabeth related the event of the day before.",O,810
137,"The possibility of Mr Collins's fancying himslf in love with her friend       had once occurred to Elizabeth within the last day or two; but that       Charlotte could encourage him seemed almost as far from possibility as she       could encourage him herself, and her astonishment was consequently so       great as to overcome at first the bounds of decorum, and she could not       help crying out:",O,811
138,"""Engaged to Mr Collins! My dear Charlotte—impossible!""",B-START,812
139,"The steady countenance which MissLucas had commanded in telling her       story, gave way to a momentary confusion here on receiving so direct a       reproach; though, as it was no more than she expected, she soon regained       her composure, and calmly replied:",O,813
140,"""Why should you be surprised, my dear Eliza? Do you think it incredible       that Mr Collins should be able to procure any woman's good opinion,       because he was not so happy as to succeed with you?""",B-START,814
141,"But Elizabeth had now recollected herself, and making a strong effort for       it, was able to assure with tolerable firmness that the prospect of their       relationship was highly grateful to her, and that she wished her all       imaginable happiness.",O,815
142,"""I see what you are feeling,""",B-OTHER,816
143,"""You must be surprised,       very much surprised—so lately as Mr Collins was wishing to marry       you. But when you have had time to think it over, I hope you will be       satisfied with what I have done. I am not romantic, you know; I never was.       I ask only a comfortable home; and considering Mr Collins's character,       connection, and situation in life, I am convinced that my chance of       happiness with him is as fair as most people can boast on entering the       marriage state.""",I-OTHER,816
144,Elizabeth quietly answered ,O,817
145,"""Undoubtedly;""",B-OTHER,817
146," and after an awkward pause, they       returned to the rest of the family. Charlotte did not stay much longer,       and Elizabeth was then left to reflect on what she had heard. It was a       long time before she became at all reconciled to the idea of so unsuitable       a match. The strangeness of Mr Collins's making two offers of marriage       within three days was nothing in comparison of his being now accepted. She       had always felt that Charlotte's opinion of matrimony was not exactly like       her own, but she had not supposed it to be possible that, when called into       action, she would have sacrificed every better feeling to worldly       advantage. Charlotte the wife of Mr Collins was a most humiliating       picture! And to the pang of a friend disgracing herself and sunk in her       esteem, was added the distressing conviction that it was impossible for       that friend to be tolerably happy in the lot she had chosen.",O,817
147,Chapter 23,O,818
148,"Elizabeth was sitting with her mother and sisters, reflecting on what she       had heard, and doubting whether she was authorised to mention it, when Sir       William Lucas himslf appeared, sent by his daughter, to announce her       engagement to the family. With many compliments to them, and much       self-gratulation on the prospect of a connection between the houses, he       unfolded the matter—to an audience not merely wondering, but       incredulous; for Mrs Bennet, with more perseverance than politeness,       protested he must be entirely mistaken; and Lydia, always unguarded and       often uncivil, boisterously exclaimed:",O,819
149,"""Good Lord! Sir William, how can you tell such a story? Do not you know       that Mr Collins wants to marry Lizzy?""",B-START,820
150,"Nothing less than the complaisance of a courtier could have borne without       anger such treatment; but Sir William's good breeding carried him through       it all; and though he begged leave to be positive as to the truth of his       information, he listened to all their impertinence with the most       forbearing courtesy.",O,821
151,"Elizabeth, feeling it incumbent on her to relieve him from so unpleasant a       situation, now put herself forward to confirm his account, by mentioning       her prior knowledge of it from Charlotte herself; and endeavoured to put a       stop to the exclamations of her mother and sisters by the earnestness of       her congratulations to Sir William, in which she was readily joined by       Jane, and by making a variety of remarks on the happiness that might be       expected from the match, the excellent character of Mr Collins, and the       convenient distance of Hunsford from London.",O,822
152,"Mrs Bennet was in fact too much overpowered to say a great deal while Sir       William remained; but no sooner had he left them than her feelings found a       rapid vent. In the first place, she persisted in disbelieving the whole of       the matter; secondly, she was very sure that Mr Collins had been taken       in; thirdly, she trusted that they would never be happy together; and       fourthly, that the match might be broken off. Two inferences, however,       were plainly deduced from the whole: one, that Elizabeth was the real       cause of the mischief; and the other that she herself had been barbarously       misused by them all; and on these two points she principally dwelt during       the rest of the day. Nothing could console and nothing could appease her.       Nor did that day wear out her resentment. A week elapsed before she could       see Elizabeth without scolding her, a month passed away before she could       speak to Sir William or Lady Lucas without being rude, and many months       were gone before she could at all forgive their daughter.",O,823
153,"Mr Bennet's emotions were much more tranquil on the occasion, and such as       he did experience he pronounced to be of a most agreeable sort; for it       gratified him, he said, to discover that Charlotte Lucas, whom he had been       used to think tolerably sensible, was as foolish as his wife, and more       foolish than his daughter!",O,824
154,"Jane confessed herself a little surprised at the match; but she said less       of her astonishment than of her earnest desire for their happiness; nor       could Elizabeth persuade her to consider it as improbable. Kitty and Lydia       were far from envying MissLucas, for Mr Collins was only a clergyman;       and it affected them in no other way than as a piece of news to spread at       Meryton.",O,825
155,"Lady Lucas could not be insensible of triumph on being able to retort on       Mrs Bennet the comfort of having a daughter well married; and she called       at Longbourn rather oftener than usual to say how happy she was, though       Mrs Bennet's sour looks and ill-natured remarks might have been enough to       drive happiness away.",O,826
156,"Between Elizabeth and Charlotte there was a restraint which kept them       mutually silent on the subject; and Elizabeth felt persuaded that no real       confidence could ever subsist between them again. Her disappointment in       Charlotte made her turn with fonder regard to her sister, of whose       rectitude and delicacy she was sure her opinion could never be shaken, and       for whose happiness she grew daily more anxious, as Bingley had now been       gone a week and nothing more was heard of his return.",O,827
157,"Jane had sent Caroline an early answer to her letter, and was counting the       days till she might reasonably hope to hear again. The promised letter of       thanks from Mr Collins arrived on Tuesday, addressed to their father, and       written with all the solemnity of gratitude which a twelvemonth's abode in       the family might have prompted. After discharging his conscience on that       head, he proceeded to inform them, with many rapturous expressions, of his       happiness in having obtained the affection of their amiable neighbour,       MissLucas, and then explained that it was merely with the view of       enjoying her society that he had been so ready to close with their kind       wish of seeing him again at Longbourn, whither he hoped to be able to       return on Monday fortnight; for Lady Catherine, he added, so heartily       approved his marriage, that she wished it to take place as soon as       possible, which he trusted would be an unanswerable argument with his       amiable Charlotte to name an early day for making him the happiest of men.",O,828
158,"Mr Collins's return into Hertfordshire was no longer a matter of pleasure       to Mrs Bennet. On the contrary, she was as much disposed to complain of       it as her husband. It was very strange that he should come to Longbourn       instead of to Lucas Lodge; it was also very inconvenient and exceedingly       troublesome. She hated having visitors in the house while her health was       so indifferent, and lovers were of all people the most disagreeable. Such       were the gentle murmurs of Mrs Bennet, and they gave way only to the       greater distress of Mr Bingley's continued absence.",O,829
159,"Neither Jane nor Elizabeth were comfortable on this subject. Day after day       passed away without bringing any other tidings of him than the report       which shortly prevailed in Meryton of his coming no more to Netherfield       the whole winter; a report which highly incensed Mrs Bennet, and which       she never failed to contradict as a most scandalous falsehood.",O,830
160,"Even Elizabeth began to fear—not that Bingley was indifferent—but       that his sisters would be successful in keeping him away. Unwilling as she       was to admit an idea so destructive of Jane's happiness, and so       dishonorable to the stability of her lover, she could not prevent its       frequently occurring. The united efforts of his two unfeeling sisters and       of his overpowering friend, assisted by the attractions of MissDarcy and       the amusements of London might be too much, she feared, for the strength       of his attachment.",O,831
161,"As for Jane, her anxiety under this suspense was, of course, more       painful than Elizabeth's, but whatever she felt she was desirous of       concealing, and between herself and Elizabeth, therefore, the subject was       never alluded to. But as no such delicacy restrained her mother, an hour       seldom passed in which she did not talk of Bingley, express her impatience       for his arrival, or even require Jane to confess that if he did not come       back she would think herself very ill used. It needed all Jane's steady       mildness to bear these attacks with tolerable tranquillity.",O,832
162,"Mr Collins returned most punctually on Monday fortnight, but his       reception at Longbourn was not quite so gracious as it had been on his       first introduction. He was too happy, however, to need much attention; and       luckily for the others, the business of love-making relieved them from a       great deal of his company. The chief of every day was spent by him at       Lucas Lodge, and he sometimes returned to Longbourn only in time to make       an apology for his absence before the family went to bed.",O,833
163,"Mrs Bennet was really in a most pitiable state. The very mention of       anything concerning the match threw her into an agony of ill-humour, and       wherever she went she was sure of hearing it talked of. The sight of Miss      Lucas was odious to her. As her successor in that house, she regarded her       with jealous abhorrence. Whenever Charlotte came to see them, she       concluded her to be anticipating the hour of possession; and whenever she       spoke in a low voice to Mr Collins, was convinced that they were talking       of the Longbourn estate, and resolving to turn herself and her daughters       out of the house, as soon as Mr Bennet were dead. She complained bitterly       of all this to her husband.",O,834
164,"""Indeed, Mr Bennet,""",B-START,835
165,"""it is very hard to think that Charlotte       Lucas should ever be mistress of this house, that I should be forced to       make way for her, and live to see her take her place in it!""",I-START,835
166,"""My dear, do not give way to such gloomy thoughts. Let us hope for better       things. Let us flatter ourselves that I may be the survivor.""",B-OTHER,836
167,"This was not very consoling to Mrs Bennet, and therefore, instead of       making any answer, she went on as before.",O,837
168,"""I cannot bear to think that they should have all this estate. If it was       not for the entail, I should not mind it.""",B-OTHER,838
169,"""What should not you mind?""",B-OTHER,839
170,"""I should not mind anything at all.""",I-OTHER,840
171,"""Let us be thankful that you are preserved from a state of such       insensibility.""",B-OTHER,841
172,"""I never can be thankful, Mr Bennet, for anything about the entail. How       anyone could have the conscience to entail away an estate from one's own       daughters, I cannot understand; and all for the sake of Mr Collins too!       Why should he have it more than anybody else?""",B-OTHER,842
173,"""I leave it to yourself to determine,""",B-OTHER,843
174, said Mr Bennet.,O,843
175,Chapter 24,O,844
176,"MissBingley's letter arrived, and put an end to doubt. The very first       sentence conveyed the assurance of their being all settled in London for       the winter, and concluded with her brother's regret at not having had time       to pay his respects to his friends in Hertfordshire before he left the       country.",O,845
177,"Hope was over, entirely over; and when Jane could attend to the rest of       the letter, she found little, except the professed affection of the       writer, that could give her any comfort. MissDarcy's praise occupied the       chief of it. Her many attractions were again dwelt on, and Caroline       boasted joyfully of their increasing intimacy, and ventured to predict the       accomplishment of the wishes which had been unfolded in her former letter.       She wrote also with great pleasure of her brother's being an inmate of Mr       Darcy's house, and mentioned with raptures some plans of the latter with       regard to new furniture.",O,846
178,"Elizabeth, to whom Jane very soon communicated the chief of all this,       heard it in silent indignation. Her heart was divided between concern for       her sister, and resentment against all others. To Caroline's assertion of       her brother's being partial to MissDarcy she paid no credit. That he was       really fond of Jane, she doubted no more than she had ever done; and much       as she had always been disposed to like him, she could not think without       anger, hardly without contempt, on that easiness of temper, that want of       proper resolution, which now made him the slave of his designing friends,       and led him to sacrifice of his own happiness to the caprice of their       inclination. Had his own happiness, however, been the only sacrifice, he       might have been allowed to sport with it in whatever manner he thought       best, but her sister's was involved in it, as she thought he must be       sensible himslf. It was a subject, in short, on which reflection would be       long indulged, and must be unavailing. She could think of nothing else;       and yet whether Bingley's regard had really died away, or were suppressed       by his friends' interference; whether he had been aware of Jane's       attachment, or whether it had escaped his observation; whatever were the       case, though her opinion of him must be materially affected by the       difference, her sister's situation remained the same, her peace equally       wounded.",O,847
179,"A day or two passed before Jane had courage to speak of her feelings to       Elizabeth; but at last, on Mrs Bennet's leaving them together, after a       longer irritation than usual about Netherfield and its master, she could       not help saying:",O,848
180,"""Oh, that my dear mother had more command over herself! She can have no       idea of the pain she gives me by her continual reflections on him. But I       will not repine. It cannot last long. He will be forgot, and we shall all       be as we were before.""",B-START,849
181,"Elizabeth looked at her sister with incredulous solicitude, but said       nothing.",O,850
182,"""You doubt me,""",B-OTHER,851
183,"""indeed, you have no       reason. He may live in my memory as the most amiable man of my       acquaintance, but that is all. I have nothing either to hope or fear, and       nothing to reproach him with. Thank God! I have not that pain. A       little time, therefore—I shall certainly try to get the better.""",I-OTHER,851
184,"With a stronger voice she soon added, ",O,852
185,"""I have this comfort immediately,       that it has not been more than an error of fancy on my side, and that it       has done no harm to anyone but myself.""",B-OTHER,852
186,"""My dear Jane!""",B-OTHER,853
187,"""you are too good. Your sweetness and       disinterestedness are really angelic; I do not know what to say to you. I       feel as if I had never done you justice, or loved you as you deserve.""",I-OTHER,853
188,"MissBennet eagerly disclaimed all extraordinary merit, and threw back the       praise on her sister's warm affection.",O,854
189,"""Nay,""",B-START,855
190,"""this is not fair. You wish to think all the       world respectable, and are hurt if I speak ill of anybody. I only want to       think you perfect, and you set yourself against it. Do not be       afraid of my running into any excess, of my encroaching on your privilege       of universal good-will. You need not. There are few people whom I really       love, and still fewer of whom I think well. The more I see of the world,       the more am I dissatisfied with it; and every day confirmsmy belief of       the inconsistency of all human characters, and of the little dependence       that can be placed on the appearance of merit or sense. I have met with       two instances lately, one I will not mention; the other is Charlotte's       marriage. It is unaccountable! In every view it is unaccountable!""",I-START,855
